12:19:12.593 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
15:23:55.933 [ApplicationImpl pooled thread 172] INFO  com.browserstack.utils.Helpers - true
15:23:55.934 [ApplicationImpl pooled thread 172] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:26:05.875 [ApplicationImpl pooled thread 172] INFO  c.b.l.BrowserStackRunExtension - testng
15:26:05.876 [ApplicationImpl pooled thread 172] INFO  com.browserstack.utils.Helpers - true
15:26:05.876 [ApplicationImpl pooled thread 172] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:26:38.918 [ApplicationImpl pooled thread 172] INFO  c.b.l.BrowserStackRunExtension - testng
15:26:38.918 [ApplicationImpl pooled thread 172] INFO  com.browserstack.utils.Helpers - true
15:26:38.918 [ApplicationImpl pooled thread 172] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:28:10.709 [ApplicationImpl pooled thread 175] INFO  c.b.l.BrowserStackRunExtension - testng
15:28:10.710 [ApplicationImpl pooled thread 175] INFO  com.browserstack.utils.Helpers - true
15:28:10.710 [ApplicationImpl pooled thread 175] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:34:44.828 [ApplicationImpl pooled thread 181] INFO  c.b.l.BrowserStackRunExtension - testng
15:34:44.829 [ApplicationImpl pooled thread 181] INFO  com.browserstack.utils.Helpers - true
15:34:44.829 [ApplicationImpl pooled thread 181] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:37:26.740 [ApplicationImpl pooled thread 184] INFO  c.b.l.BrowserStackRunExtension - testng
15:37:26.740 [ApplicationImpl pooled thread 184] INFO  com.browserstack.utils.Helpers - true
15:37:26.741 [ApplicationImpl pooled thread 184] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:40:33.305 [ApplicationImpl pooled thread 189] INFO  c.b.l.BrowserStackRunExtension - testng
15:40:33.306 [ApplicationImpl pooled thread 189] INFO  com.browserstack.utils.Helpers - true
15:40:33.306 [ApplicationImpl pooled thread 189] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:42:50.813 [ApplicationImpl pooled thread 181] INFO  c.b.l.BrowserStackRunExtension - testng
15:42:50.814 [ApplicationImpl pooled thread 181] INFO  com.browserstack.utils.Helpers - true
15:42:50.815 [ApplicationImpl pooled thread 181] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:45:45.051 [ApplicationImpl pooled thread 193] INFO  c.b.l.BrowserStackRunExtension - testng
15:45:45.052 [ApplicationImpl pooled thread 193] INFO  com.browserstack.utils.Helpers - true
15:45:45.052 [ApplicationImpl pooled thread 193] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:47:25.422 [ApplicationImpl pooled thread 191] INFO  c.b.l.BrowserStackRunExtension - testng
15:47:25.423 [ApplicationImpl pooled thread 191] INFO  com.browserstack.utils.Helpers - true
15:47:25.423 [ApplicationImpl pooled thread 191] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:48:11.217 [ApplicationImpl pooled thread 197] INFO  c.b.l.BrowserStackRunExtension - testng
15:48:11.217 [ApplicationImpl pooled thread 197] INFO  com.browserstack.utils.Helpers - true
15:48:11.218 [ApplicationImpl pooled thread 197] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:51:55.740 [ApplicationImpl pooled thread 193] INFO  c.b.l.BrowserStackRunExtension - testng
15:51:55.740 [ApplicationImpl pooled thread 193] INFO  com.browserstack.utils.Helpers - true
15:51:55.741 [ApplicationImpl pooled thread 193] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:11:56.347 [ApplicationImpl pooled thread 209] INFO  c.b.l.BrowserStackRunExtension - testng
16:11:56.347 [ApplicationImpl pooled thread 209] INFO  com.browserstack.utils.Helpers - true
16:11:56.348 [ApplicationImpl pooled thread 209] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:15:08.139 [ApplicationImpl pooled thread 211] INFO  c.b.l.BrowserStackRunExtension - testng
16:15:08.139 [ApplicationImpl pooled thread 211] INFO  com.browserstack.utils.Helpers - true
16:15:08.139 [ApplicationImpl pooled thread 211] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:20:02.908 [ApplicationImpl pooled thread 219] INFO  c.b.l.BrowserStackRunExtension - testng
16:20:02.909 [ApplicationImpl pooled thread 219] INFO  com.browserstack.utils.Helpers - true
16:20:02.909 [ApplicationImpl pooled thread 219] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:23:55.872 [ApplicationImpl pooled thread 219] INFO  c.b.l.BrowserStackRunExtension - testng
16:23:55.873 [ApplicationImpl pooled thread 219] INFO  com.browserstack.utils.Helpers - true
16:23:55.873 [ApplicationImpl pooled thread 219] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:39:54.267 [ApplicationImpl pooled thread 225] INFO  c.b.l.BrowserStackRunExtension - testng
16:39:54.268 [ApplicationImpl pooled thread 225] INFO  com.browserstack.utils.Helpers - true
16:39:54.270 [ApplicationImpl pooled thread 225] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:42:36.343 [ApplicationImpl pooled thread 241] INFO  c.b.l.BrowserStackRunExtension - testng
16:42:36.344 [ApplicationImpl pooled thread 241] INFO  com.browserstack.utils.Helpers - true
16:42:36.344 [ApplicationImpl pooled thread 241] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:57:13.400 [ApplicationImpl pooled thread 225] INFO  c.b.l.BrowserStackRunExtension - testng
16:57:13.402 [ApplicationImpl pooled thread 225] INFO  com.browserstack.utils.Helpers - true
16:57:13.402 [ApplicationImpl pooled thread 225] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:09:54.614 [ApplicationImpl pooled thread 246] INFO  c.b.l.BrowserStackRunExtension - testng
17:09:54.614 [ApplicationImpl pooled thread 246] INFO  com.browserstack.utils.Helpers - true
17:09:54.614 [ApplicationImpl pooled thread 246] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:19:27.934 [ApplicationImpl pooled thread 257] INFO  c.b.l.BrowserStackRunExtension - testng
17:19:27.935 [ApplicationImpl pooled thread 257] INFO  com.browserstack.utils.Helpers - true
17:19:27.935 [ApplicationImpl pooled thread 257] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:22:48.933 [ApplicationImpl pooled thread 271] INFO  c.b.l.BrowserStackRunExtension - testng
17:22:48.934 [ApplicationImpl pooled thread 271] INFO  com.browserstack.utils.Helpers - true
17:22:48.934 [ApplicationImpl pooled thread 271] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
07:41:12.338 [ApplicationImpl pooled thread 359] INFO  c.b.l.BrowserStackRunExtension - testng
07:41:12.338 [ApplicationImpl pooled thread 359] INFO  com.browserstack.utils.Helpers - true
